repo_name,repo_url,clone_url,stars,forks,last_pushed,description,quality_label
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books.git,382063,65901,2026-02-01T18:50:24Z,:books: Freely available programming books,1
vinta/awesome-python,https://github.com/vinta/awesome-python,https://github.com/vinta/awesome-python.git,281393,27176,2026-02-02T12:55:06Z,"An opinionated list of awesome Python frameworks, libraries, software and resources.",1
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,https://github.com/TheAlgorithms/Python.git,217473,50036,2026-02-02T18:20:16Z,All Algorithms implemented in Python,1
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT.git,181684,46299,2026-02-04T14:52:25Z,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",1
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui.git,160421,29920,2025-12-18T14:41:34Z,Stable Diffusion web UI,1
huggingface/transformers,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers.git,156147,31958,2026-02-04T15:32:14Z,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",1
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp.git,145749,11804,2026-02-04T15:33:01Z,A feature-rich command-line audio/video downloader,1
langflow-ai/langflow,https://github.com/langflow-ai/langflow,https://github.com/langflow-ai/langflow.git,144557,8401,2026-02-04T15:22:34Z,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,1
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub.git,142177,11099,2026-01-28T01:25:45Z,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",1
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl.git,139655,10592,2025-11-26T03:02:36Z,Command-line program to download videos from YouTube.com and other video sites,1
langchain-ai/langchain,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain.git,125922,20708,2026-02-04T13:15:43Z,🦜🔗 The platform for reliable agents.,1
open-webui/open-webui,https://github.com/open-webui/open-webui,https://github.com/open-webui/open-webui.git,122885,17361,2026-02-04T06:13:06Z,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",1
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI.git,102429,11618,2026-02-04T15:32:49Z,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",1
pytorch/pytorch,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch.git,97153,26750,2026-02-04T15:32:33Z,Tensors and Dynamic neural networks in Python with strong GPU acceleration,1
fastapi/fastapi,https://github.com/fastapi/fastapi,https://github.com/fastapi/fastapi.git,94799,8626,2026-02-04T14:54:41Z,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",1
openai/whisper,https://github.com/openai/whisper,https://github.com/openai/whisper.git,94161,11718,2025-12-15T10:18:21Z,Robust Speech Recognition via Large-Scale Weak Supervision,1
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps.git,92078,13331,2026-02-04T01:10:38Z,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",1
django/django,https://github.com/django/django,https://github.com/django/django.git,86677,33619,2026-02-03T16:03:40Z,The Web framework for perfectionists with deadlines.,1
microsoft/markitdown,https://github.com/microsoft/markitdown,https://github.com/microsoft/markitdown.git,86380,5000,2026-01-08T23:21:33Z,Python tool for converting files and office documents to Markdown.,1
home-assistant/core,https://github.com/home-assistant/core,https://github.com/home-assistant/core.git,84580,36673,2026-02-04T14:46:12Z,:house_with_garden: Open source home automation that puts local control and privacy first.,1
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises.git,80858,18480,2025-12-27T14:22:30Z,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",1
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam.git,79234,11551,2025-12-15T19:50:08Z,real time face swap and one-click video deepfake with only a single image,1
browser-use/browser-use,https://github.com/browser-use/browser-use,https://github.com/browser-use/browser-use.git,77778,9204,2026-02-04T05:45:34Z,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,1
tensorflow/models,https://github.com/tensorflow/models,https://github.com/tensorflow/models.git,77689,45313,2026-01-28T23:20:45Z,Models and examples built with TensorFlow,1
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings.git,74924,16587,2026-02-02T11:32:13Z,A list of useful payloads and bypass for Web Application Security and Pentest/CTF,1
infiniflow/ragflow,https://github.com/infiniflow/ragflow,https://github.com/infiniflow/ragflow.git,72762,8055,2026-02-04T13:30:45Z,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,1
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,https://github.com/sherlock-project/sherlock.git,72437,8582,2026-02-04T05:25:27Z,Hunt down social media accounts by username across social networks,1
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning.git,71581,15298,2026-01-29T18:16:50Z,"A curated list of awesome Machine Learning frameworks, libraries and software.",1
python/cpython,https://github.com/python/cpython,https://github.com/python/cpython.git,71345,34015,2026-02-04T15:06:35Z,The Python programming language,1
